model,logn,logu,lognh,metallicity,dust_to_metals,sed,geometry,radius_log_cm,temperature,microturbulence_kms,no_molecules,iterations,zones,cautions,cloudy_exited_ok,halpha_hbeta,oiii_hbeta,nii_halpha,sii_halpha,heii1640_hbeta,heii4686_hbeta,paalpha_halpha,lha_per_qh54,yield_halpha,yield_hbeta,yield_oiii5007,yield_nii6583,yield_sii6716,yield_sii6731,yield_heii1640,yield_heii4686,yield_paalpha,elapsed_seconds
dense_u_0p5,10.0,0.5,22.0,0.2,0.0,agn_standard,open,17.0,10000.0,0.0,True,3,349,3,True,1.456945156330087,3.2022039979497695e-13,0.0,0.0,6.274730907227064,0.787288569964121,0.055897977132805636,2.9983323493176796e+40,2.9983323493176795e-14,2.057958280921299e-14,6.590002234780019e-27,0.0,0.0,0.0,1.2913134431080752e-13,1.6202070320323505e-14,1.6760071309871104e-15,125.1559626669623
dense_u_1p0,10.0,1.0,22.0,0.2,0.0,agn_standard,open,17.0,10000.0,0.0,True,3,252,3,True,1.518192515886091,1.191527418216051e-15,0.0,0.0,6.013650270651919,0.7482701812191105,0.06458113722329013,1.0758776326521197e+40,1.0758776326521197e-14,7.08656920248474e-15,8.443841505846021e-30,0.0,0.0,0.0,4.261614880251591e-14,5.302668421365024e-15,6.948140102977507e-16,123.09445383306593
dense_z_0p02,10.0,-1.0,22.0,0.02,0.0,agn_standard,open,17.0,10000.0,0.0,True,3,175,4,True,1.8653897789313525,9.987469793251589e-06,3.4629114288456e-11,3.1572305920736975e-12,3.2962498881231537,0.47321220800143204,0.05826216294021686,6.952142872119886e+41,6.952142872119885e-13,3.726911635648953e-13,3.722241738316179e-18,2.4074655006831427e-23,6.724652159194746e-25,1.5224865997129255e-24,1.2284832062052742e-12,1.7636200841316696e-13,4.05046880799116e-14,98.51845508418046
dense_n_9,9.0,-1.0,22.0,0.2,0.0,agn_standard,open,17.0,10000.0,0.0,True,3,277,0,True,3.7815587266739845,0.0007941822173435784,1.6952327788321982e-06,1.2919281009266496e-07,2.8190492273917083,0.3917757325002111,0.11862677235681589,1.493866800344924e+42,1.493866800344924e-12,3.950399579431715e-13,3.137337097386219e-16,2.53245196715389e-18,5.912090023292047e-20,1.3387594960777832e-19,1.1136370882285505e-12,1.547670688900386e-13,1.7721259685592223e-13,141.59889412485063
dense_n_11,11.0,-1.0,22.0,0.2,0.0,agn_standard,open,17.0,10000.0,0.0,True,3,236,0,True,1.9008432576373993,4.609068718100452e-05,1.407004572429225e-10,7.216266173752311e-12,14.80730823285746,2.159886086248983,0.06920517560073938,1.7143526672709024e+41,1.7143526672709022e-13,9.018906005967634e-14,4.156875754359371e-18,2.4121020416063968e-23,3.790288813736601e-25,8.58093634897246e-25,1.3354572115353215e-12,1.947980959547688e-13,1.1864207738007871e-14,136.64485254208557
diffuse_base,4.0,-2.0,22.0,0.2,0.0,agn_standard,open,17.0,10000.0,0.0,True,3,214,0,True,2.8638629958812056,1.596285858804827,0.09616985845129059,0.09235737895188355,2.1933665727292437,0.2895512681552136,0.10518759619508995,1.322014578498836e+42,1.322014578498836e-12,4.616193513447226e-13,7.368764427022377e-13,1.2713795488477564e-13,5.987141944711632e-14,6.222638195921526e-14,1.0125004545644707e-12,1.3366246858685152e-13,1.390595356471576e-13,151.62595445802435
diffuse_u_low,4.0,-3.0,22.0,0.2,0.0,agn_standard,open,17.0,10000.0,0.0,True,3,184,0,True,3.0248377433849227,1.2866325511732402,0.20278316484423353,0.47470600371363725,1.5934223664503246,0.209991263105342,0.09584072622240561,1.6167851694254432e+42,1.6167851694254431e-12,5.345031061455188e-13,6.877090950700301e-13,3.2785681352931167e-13,3.9830888607611335e-13,3.691887405653147e-13,8.516892042694417e-13,1.1224098239322618e-13,1.5495386478334955e-13,158.71948729106225
diffuse_u_high,4.0,-1.0,22.0,0.2,0.0,agn_standard,open,17.0,10000.0,0.0,True,3,239,0,True,2.81753200848323,1.5766239886890268,0.003970448843044327,0.0020418176749372736,2.4528316707250024,0.3258345770167308,0.11035963200446056,1.1964944094757714e+42,1.1964944094757713e-12,4.2466044959676736e-13,6.695298518817308e-13,4.750619843812081e-15,9.667354607032843e-16,1.4762879725279812e-15,1.0416206000752695e-12,1.3836905797009743e-13,1.3204468272514047e-13,137.73840854107402
diffuse_z_0p02,4.0,-2.0,22.0,0.02,0.0,agn_standard,open,17.0,10000.0,0.0,True,3,215,0,True,2.8617561683599417,0.15822206095791003,0.009472549765436796,0.008398884239888426,2.2366473149492023,0.29526124818577654,0.10524407252440726,1.3154100094139125e+42,1.3154100094139125e-12,4.596513231830535e-13,7.272697967605309e-14,1.246028677612697e-14,5.425086444302745e-15,5.622889952755249e-15,1.0280778978102245e-12,1.3571722341327214e-13,1.3843910643008905e-13,112.64512424985878
diffuse_z_solar,4.0,-2.0,22.0,1.0,0.0,agn_standard,open,17.0,10000.0,0.0,True,3,211,0,True,2.8667332524791327,8.301348362702432,0.4934425005599383,0.5644675609088421,2.0281800670614256,0.2677677106370836,0.10516885249981336,1.3403606037347345e+42,1.3403606037347343e-12,4.675567922392497e-13,3.881351811725697e-12,6.613908879588959e-13,3.6935552261291376e-13,3.8723455811553473e-13,9.482893662388265e-13,1.2519661185072242e-13,1.4096418663073905e-13,131.20203737495467
