cautions,cloudy_exited_ok,dust_to_metals,elapsed_seconds,geometry,halpha_hbeta,hbeta_hgamma,hei5876_hbeta,hei7065_hbeta,heii1640_hbeta,heii4686_hbeta,iterations,lha_per_qh54,logn,lognh,logu,metallicity,microturbulence_kms,model,neiii3869_oii3727,nii_halpha,no_molecules,oi6300_halpha,oiii5007_oii3727,oiii5007_oiii4363,oiii_hbeta,paalpha_halpha,radius_log_cm,sed,sii_halpha,temperature,yield_halpha,yield_hbeta,yield_hei5876,yield_hei7065,yield_heii1640,yield_heii4686,yield_hgamma,yield_neiii3869,yield_nii6583,yield_oi6300,yield_oii3726,yield_oii3729,yield_oiii4363,yield_oiii5007,yield_paalpha,yield_sii6716,yield_sii6731,zones
0,True,0.0,117.40191120817326,open,2.7713858155680398,2.1069416446994365,0.13603512989721073,0.08684100777666022,0.009921742756911907,0.0012400951843583642,2,1.1916327370357724e+42,4.0,21.0,-2.5,0.2,0.0,soft_diffuse_50k,0.2711968032840579,0.08265734265734266,True,0.00434655218199522,4.839680702728501,74.17411674714347,3.8061477320118744,0.10632026201646454,17.0,blackbody_50000,0.02493228290696645,,1.1916327370357724e-12,4.299772086375957e-13,5.84920054298554e-14,3.73396541190841e-14,4.266123255437265e-15,5.33212665815334e-16,2.0407646776516853e-13,9.17062495865186e-14,9.849719546687294e-14,5.179493873299773e-15,2.328836644089208e-13,1.0527020936835713e-13,2.2063717766289505e-14,1.6365567774727813e-12,1.266947048290401e-13,9.950138628360132e-15,1.9759985892618504e-14,162
0,True,0.0,55.971106874989346,open,2.7554327808471455,2.1043249108665325,0.14078268876611416,0.10957642725598526,0.012158379373848987,0.0014850828729281768,2,9.981571984709503e+41,4.0,21.0,-2.0,0.2,0.0,soft_diffuse_50k_u_m2p0,1.6325246081993832,0.012653722764336319,True,2.5738871808581743e-05,31.975055933736375,70.07499797146136,5.566574585635359,0.10671701644165218,17.0,blackbody_50000,0.00471775163748162,,9.981571984709502e-13,3.6225060738519315e-13,5.0998614514845464e-14,3.9694127328580094e-14,4.4043803129964e-15,5.379721727355796e-16,1.721457582498623e-13,1.0295455798290962e-13,1.2630404464678029e-14,2.5691440176256872e-17,4.3470072886223175e-14,1.9594555644225046e-14,2.877624092864938e-14,2.0164950247013887e-12,1.0652035816057788e-13,1.547070273529029e-15,3.161987484021363e-15,54
0,True,0.0,60.93367562489584,open,2.7501368862931193,2.10036034654604,0.13836466508486953,0.10521993064427815,0.03847417411936485,0.004656871691914583,2,3.1788124425343044e+41,4.0,21.0,-1.5,0.2,0.0,soft_diffuse_50k_u_m1p5,9.002185399319483,0.0019437217945314574,True,3.6524422617467475e-07,173.44324877589975,71.4075828844117,5.721664537324329,0.10692859039023096,17.0,blackbody_50000,0.0006845832227236528,,3.178812442534304e-13,1.1558742615241208e-13,1.5993215507600585e-14,1.2162100963107422e-14,4.447130759797129e-15,5.382758127904351e-16,5.503218833020298e-14,3.4326026846612465e-14,6.178727025281702e-16,1.1610428907278696e-19,2.63125419362285e-15,1.181822889771514e-15,9.26165612197503e-15,6.613524771768509e-13,3.399059335951202e-14,7.145999061983307e-17,1.4615617601458494e-16,51
0,True,0.0,87.1005044169724,open,3.239032010378882,1.9648328781375992,0.25335592681829017,0.1430405888427017,0.1804125076120628,0.018554899520771002,2,8.161312717213187e+40,10.0,21.0,-1.0,0.2,0.0,soft_dense_50k,46821.72385359946,5.2458413373114805e-09,True,1.2313728695794334e-12,24121.024833416282,0.2933773039392844,0.0008597262305065,0.112927616789962,17.0,blackbody_50000,1.553684554706339e-10,,8.161312717213186e-14,2.519676462307801e-14,6.383749653902234e-15,3.604160048616033e-15,4.545811489360416e-15,4.675234358297299e-16,1.2823871639892956e-14,4.204908984067904e-17,4.281295161868281e-22,1.0049619060129925e-25,6.518843112457486e-22,2.461836448200441e-22,7.383774811306294e-17,2.166231947035839e-17,9.216375950324941e-15,3.890024478200849e-24,8.790081036661702e-24,70
0,True,0.0,120.9506451250054,open,2.7935977529178166,2.1079011841567987,0.14177442006876845,0.09273572570100247,0.11942951232505204,0.014961499346215311,2,1.2169484719112778e+42,4.0,21.0,-2.5,0.2,0.0,soft_diffuse_70k,0.6685950634231568,0.06618271647742048,True,0.007584727398803849,10.798427569239545,58.36525258365253,5.866627923870404,0.10301638207506283,17.0,blackbody_70000,0.027365866343070124,,1.2169484719112778e-12,4.3562050787026053e-13,6.175984487336857e-14,4.0397583927587867e-14,5.202594481373671e-14,6.517535943698885e-15,2.0666078236704307e-13,1.5823389119477403e-13,8.054095568413421e-14,9.230222417837945e-15,1.625164696778804e-13,7.414978745035554e-14,4.378672793404616e-14,2.555623435682278e-12,1.2536562874807607e-13,1.1256008619021623e-14,2.204684060970583e-14,169
0,True,0.0,52.487139999866486,open,2.750071361578926,2.103128149053408,0.14752477266239858,0.11433144395057702,0.16218447987603477,0.019960853076703502,2,8.99822503206535e+41,4.0,21.0,-2.0,0.2,0.0,soft_diffuse_70k_u_m2p0,6.604366599026593,0.004641162514827995,True,9.079552194543297e-06,117.74560212379659,53.1647836869661,7.867512131468417,0.10448176156583629,17.0,blackbody_70000,0.002807384341637011,,8.99822503206535e-13,3.271996922617713e-13,4.827006021612458e-14,3.7409213276472755e-14,5.3066711905074013e-14,6.531184983979817e-15,1.555776296413701e-13,1.4438988988842408e-13,4.176222471880864e-15,8.169985383688338e-18,1.5048077026674232e-14,6.814714464898246e-15,4.8420164058963755e-14,2.5742475482822186e-12,9.401504023159915e-14,8.315752893289931e-16,1.6945723164256521e-15,55
0,True,0.0,54.460637792013586,open,2.7403065548827192,2.1008066246192127,0.13772504008087658,0.10429197259182861,0.5146997253055848,0.06267117342510238,2,2.830615605767456e+41,4.0,21.0,-1.5,0.2,0.0,soft_diffuse_70k_u_m1p5,33.57861600310832,0.0005256940562697968,True,1.3714551891186882e-07,587.9013265880599,53.48193031811296,7.571149938219286,0.104844419601267,17.0,blackbody_70000,0.00027836407676541826,,2.830615605767456e-13,1.0329558204806768e-13,1.4226388177747597e-14,1.0772900011814058e-14,5.316620770542093e-14,6.4736553365813415e-15,4.916948606195051e-14,4.466855936554293e-14,1.4880377995364822e-16,3.8820624609301163e-20,9.165667293905405e-16,4.137013007572186e-16,1.462300135746385e-14,7.820663396415529e-13,2.967742503009777e-14,2.5920148045658165e-17,5.287402193206614e-17,58
0,True,0.0,79.56966329086572,open,3.332811075660893,1.9775787279589883,0.19121752506836828,0.10641237465815861,2.22068710118505,0.24559879216043756,2,7.80506626354156e+40,10.0,21.0,-1.0,0.2,0.0,soft_dense_70k,235005.59332243353,6.134450190179068e-10,True,2.642847984956622e-13,82673.60812322519,0.27078635851183763,0.0005473735186873291,0.11277832385999402,17.0,blackbody_70000,3.0002136843454853e-11,,7.80506626354156e-14,2.341886799567186e-14,4.4780979780351915e-15,2.492057355225394e-15,5.2005978082343885e-14,5.751645693501736e-15,1.1842192507724794e-14,3.643854175944613e-17,4.7879790224742747e-23,2.062760364705372e-26,1.1250449802843273e-22,4.2549435983476275e-23,4.7339416390521743e-17,1.2818868178464983e-17,8.802422908184035e-15,7.184637046472998e-25,1.6232229564627672e-24,76
0,True,0.0,125.27734199981205,open,2.8383990938266943,2.1099382593108946,0.13171370587124787,0.08591891636775531,0.6897064376061921,0.0858528412308854,2,1.2687402461774164e+42,4.0,21.0,-2.5,0.2,0.0,soft_diffuse_100k,0.8983635331657596,0.06701862321250415,True,0.009859494512803458,13.829122527532803,48.57267305501574,6.842080422880875,0.09889424675756567,17.0,blackbody_100000,0.031068340538742932,,1.2687402461774163e-12,4.469914921185084e-13,5.887490591984742e-14,3.8405024628428285e-14,3.082929096693327e-13,3.837548960440686e-14,2.1185050801652166e-13,1.98675777658394e-13,8.502922451310402e-14,1.2509137495359143e-14,1.5157796256708903e-13,6.957502319389441e-14,6.296445192452805e-14,3.0583517374183575e-12,1.25471110976724e-13,1.3340337457104908e-14,2.60773165663436e-14,179
2,True,0.0,53.883057832950726,open,2.7589233144850414,2.102267684906233,0.13371918637590677,0.0986447004454714,1.0300276614417276,0.12607618560938488,2,8.284064304246105e+41,4.0,21.0,-2.0,0.2,0.0,soft_diffuse_100k_u_m2p0,13.566661057827135,0.00219935574793638,True,6.788806120394606e-06,228.84626170845252,42.58977035490606,9.065176577757535,0.10146970002013288,17.0,blackbody_100000,0.0019649285282866925,,8.284064304246105e-13,3.0026439157452053e-13,4.0151110139001564e-14,2.9619490961310305e-14,3.092806290677266e-13,3.7856189164038274e-14,1.4282880992289674e-13,1.6136496669305804e-13,1.821960444381826e-15,5.623890645040844e-18,8.1769902296875e-15,3.717238276888206e-15,6.391088063996593e-14,2.7219497296359604e-12,8.405815198993431e-14,5.36637916354787e-16,1.0911215118026752e-15,56
0,True,0.0,57.54296529199928,open,2.733989552094418,2.0986701857679426,0.07435667988778176,0.047287655993034736,3.508392183418787,0.4243857018477314,2,2.3848477075012635e+41,4.0,21.0,-1.5,0.2,0.0,soft_diffuse_100k_u_m1p5,76.54922603846354,0.00014523862178778362,True,5.565482772347296e-08,1274.1960702559024,38.957851963986926,5.912740640417916,0.10062364545092663,17.0,blackbody_100000,0.00012664292980671415,,2.3848477075012634e-13,8.722958380270003e-14,6.486102239561799e-15,4.1248825512776735e-15,3.060355899762668e-13,3.7018988143994355e-14,4.156421737643407e-14,3.098540466533222e-14,3.463719942112388e-17,1.3272828830770225e-20,2.78483631853425e-16,1.2629387236017795e-16,1.3239074517602885e-14,5.157659051969648e-13,2.399720701740623e-14,9.949822181674188e-18,2.025258790040438e-17,52
0,True,0.0,61.812663207994774,open,3.39375665769946,1.987833327351685,0.002366078682723383,0.0010953653384368173,7.428999584740101,0.8129344431003664,2,6.2700042974396645e+40,10.0,21.0,-1.0,0.2,0.0,soft_dense_100k,1159636.9898586776,5.043996382401447e-11,True,3.963451614619355e-15,240619.96009075252,0.16046155528819864,1.58928990557351e-05,0.10797467681012927,17.0,blackbody_100000,3.5254029898388043e-12,,6.270004297439664e-14,1.847511454074005e-14,4.371357467571783e-17,2.0237000091576688e-17,1.3725161825118363e-13,1.5019056950391994e-14,9.29409638450611e-15,1.4150789610591205e-18,3.162587899392719e-24,2.4850858656357527e-28,8.852791086558956e-25,3.349984208075041e-25,1.8298659134380223e-18,2.936231304391253e-19,6.770016876141694e-15,6.785027260425611e-26,1.5319264636070332e-25,63
