dense_model,diffuse_model,dense_fraction,dense_logn,dense_logu,dense_metallicity,diffuse_logn,diffuse_logu,diffuse_metallicity,halpha_hbeta,oiii_hbeta,nii_halpha,sii_halpha,heii1640_hbeta,heii4686_hbeta,paalpha_halpha,lha_per_qh54,yield_halpha,yield_hbeta,yield_heii1640,yield_heii4686,yield_nii6583,yield_oiii5007,yield_paalpha,yield_sii6716,yield_sii6731
thermal_dense_skin,thermal_skin_z_0p02,0.0,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9241510291973736,0.8110663795524764,0.0002086172986323926,0.0001443214563417646,3.6985568499471686,0.4316476520390012,0.08186433700772994,7.2927118133172e+41,7.292711813317199e-13,2.4939586705680235e-13,9.224047924514498e-13,1.0765114044329961e-13,1.5213858381987715e-16,2.022766029691114e-13,5.970130175856525e-14,3.500755179104606e-17,7.024192716682686e-17
thermal_dense_skin,thermal_skin_z_0p02,0.01,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9244064829904612,0.8105296097613572,0.0002084610229575972,0.0001442133448221131,3.7006285910328582,0.4318445926207969,0.08187884119162742,7.225197106192713e+41,7.225197106192712e-13,2.4706541817005946e-13,9.142973503356111e-13,1.0669386486033615e-13,1.5061719798272036e-16,2.0025383697490485e-13,5.91590766436159e-14,3.4657476273140554e-17,6.953950789516977e-17
thermal_dense_skin,thermal_skin_z_0p02,0.02,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9246668018178297,0.8099826173644057,0.0002083017991479653,0.000144103193782634,3.7027397877527037,0.432045283871824,0.08189361899641869,7.157682399068226e+41,7.157682399068225e-13,2.4473496928331667e-13,9.061899082197724e-13,1.0573658927737268e-13,1.4909581214556357e-16,1.9823107098069827e-13,5.861685152866653e-14,3.4307400755235046e-17,6.883708862351268e-17
thermal_dense_skin,thermal_skin_z_0p02,0.03,10.0,-1.0,0.2,4.0,-2.0,0.02,2.924932125995103,0.8094251075247892,0.00020813954298441975,0.00014399094496056562,3.7048915780723513,0.4322498339675773,0.08190867823860495,7.090167691943738e+41,7.090167691943738e-13,2.424045203965738e-13,8.980824661039337e-13,1.0477931369440923e-13,1.4757442630840678e-16,1.962083049864917e-13,5.807462641371719e-14,3.395732523732954e-17,6.813466935185559e-17
thermal_dense_skin,thermal_skin_z_0p02,0.04,10.0,-1.0,0.2,4.0,-2.0,0.02,2.925202601286193,0.8088567739575044,0.0002079741670092063,0.00014387653785262903,3.7070851441433175,0.4324583552838785,0.08192402703527375,7.022652984819253e+41,7.022652984819252e-13,2.40074071509831e-13,8.899750239880949e-13,1.0382203811144574e-13,1.4605304047125002e-16,1.9418553899228512e-13,5.753240129876783e-14,3.360724971942403e-17,6.74322500801985e-17
thermal_dense_skin,thermal_skin_z_0p02,0.05,10.0,-1.0,0.2,4.0,-2.0,0.02,2.925478379170339,0.8082772983682843,0.0002078055803687016,0.00014375990960628318,3.7093217144686306,0.432670964602744,0.0819396738186886,6.955138277694766e+41,6.955138277694765e-13,2.377436226230881e-13,8.818675818722563e-13,1.0286476252848228e-13,1.4453165463409323e-16,1.9216277299807857e-13,5.699017618381846e-14,3.3257174201518523e-17,6.672983080854141e-17
thermal_dense_skin,thermal_skin_z_0p02,0.06,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9257596171249873,0.8076863498591726,0.0002076336886469763,0.00014364099490458333,3.7116025661970773,0.43288778333047623,0.081955627351736,6.8876235705702784e+41,6.887623570570278e-13,2.354131737363453e-13,8.737601397564176e-13,1.0190748694551881e-13,1.4301026879693644e-16,1.90140007003872e-13,5.644795106886911e-14,3.2907098683613016e-17,6.602741153688433e-17
thermal_dense_skin,thermal_skin_z_0p02,0.07,10.0,-1.0,0.2,4.0,-2.0,0.02,2.926046478925666,0.8070835842984453,0.00020745839368947232,0.00014351972584420133,3.713929027555109,0.43310893772884235,0.08197189674429031,6.820108863445792e+41,6.820108863445791e-13,2.3308272484960243e-13,8.65652697640579e-13,1.0095021136255536e-13,1.4148888295977965e-16,1.8811724100966542e-13,5.5905725953919755e-14,3.255702316570751e-17,6.532499226522724e-17
thermal_dense_skin,thermal_skin_z_0p02,0.08,10.0,-1.0,0.2,4.0,-2.0,0.02,2.926339134964007,0.8064686436523444,0.00020727959341610235,0.00014339603180612764,3.7163024804260876,0.43333455916025765,0.0819884914705602,6.752594156321306e+41,6.752594156321306e-13,2.3075227596285964e-13,8.575452555247403e-13,9.99929357795919e-14,1.3996749712262289e-16,1.8609447501545887e-13,5.53635008389704e-14,3.2206947647802007e-17,6.462257299357015e-17
thermal_dense_skin,thermal_skin_z_0p02,0.09,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9266377625852527,0.8058411552759112,0.00020709718162302435,0.00014326983931853903,3.7187243630874396,0.4335647843479813,0.08200542138748639,6.685079449196819e+41,6.685079449196818e-13,2.2842182707611675e-13,8.494378134089016e-13,9.903566019662844e-14,1.384461112854661e-16,1.8407170902125232e-13,5.482127572402105e-14,3.18568721298965e-17,6.392015372191306e-17
